embedding	source	sample	reproductive_state	component_1	component_2
separate_pca	Published	Fe_FL_SF_2	Forelegs	-36.24524787377499	-9.17457680174841
separate_pca	Published	Fe_FL_SF_3	Forelegs	-55.02346028315558	-16.07953837366676
separate_pca	Published	Fe_HL_BF_1	Hindlegs	-52.70149244337265	-10.813251451087524
separate_pca	Published	Fe_HL_BF_2	Hindlegs	-34.96731018495225	-20.27900713618892
separate_pca	Published	Fe_HL_BF_3	Hindlegs	-44.69629249035755	-11.302061155546557
separate_pca	Published	Fe_HL_BF_4	Hindlegs	-48.990186094443324	-12.971834384357336
separate_pca	Published	Fe_HL_O_1	Hindlegs	-43.42316223326829	-9.393221365922503
separate_pca	Published	Fe_HL_O_2	Hindlegs	-45.41945684380213	-10.376115724328292
separate_pca	Published	Fe_HL_O_3	Hindlegs	-44.313637221253046	-10.719819318864094
separate_pca	Published	Fe_HL_O_4	Hindlegs	-49.456064509461875	-14.015350225977892
separate_pca	Published	Fe_HL_O_5	Hindlegs	-51.540655387339704	-13.172121269483448
separate_pca	Published	Fe_HL_O_6	Hindlegs	-49.74580494937477	-12.371165109645817
separate_pca	Published	Fe_HL_O_7	Hindlegs	-47.97944414564467	-9.190806170147598
separate_pca	Published	Fe_HL_O_8	Hindlegs	-48.07570678034025	-11.987301188528985
separate_pca	Published	FE_HL_SF_1	Hindlegs	-48.88541968974764	-12.220619014409912
separate_pca	Published	FE_HL_SF_2	Hindlegs	-47.44469030129646	-14.135650266169112
separate_pca	Published	FE_HL_SF_3	Hindlegs	-38.54430407644718	-13.414418472182279
separate_pca	Published	FE_HL_SF_4	Hindlegs	-43.42317616855848	-13.946557362071745
separate_pca	Published	FE_HL_SF_5	Hindlegs	-42.708410366305934	-13.942083295997104
separate_pca	Published	FE_HL_SF_6	Hindlegs	-45.73988679425158	-10.81392885168929
separate_pca	Published	Fe_ML_O_1	Midlegs	-49.13849171900844	-18.301069338959273
separate_pca	Published	Fe_ML_O_2	Midlegs	-38.862840663740926	-10.99427936322669
separate_pca	Published	Fe_ML_O_3	Midlegs	-38.28049543658885	-11.994888441451039
separate_pca	Published	Fe_ML_O_4	Midlegs	-42.23179167507242	-12.504648954947722
separate_pca	Published	Fe_ML_O_5	Midlegs	-31.261620551793836	-11.832968878867323
separate_pca	Published	Fe_ML_O_6	Midlegs	-43.0054160223311	-13.921091774201091
separate_pca	Published	Fe_ML_O_7	Midlegs	-44.0658070448528	-14.960815435684477
separate_pca	Published	Fe_ML_SF_1	Midlegs	-39.900477779044266	-13.590246079710885
separate_pca	Published	Fe_ML_SF_2	Midlegs	-43.261621015750244	-15.25364860672953
separate_pca	Published	Fe_ML_SF_3	Midlegs	-38.935612520865966	-13.727195418669636
separate_pca	Published	Fe_Os_SF_1	Proboscis	-26.48381512316512	-1.2431155780119485
separate_pca	Published	Fe_Os_SF_2	Proboscis	-17.627247380858087	-1.2141092555367785
separate_pca	Published	Fe_Os_SF_3	Proboscis	-23.556595080963074	4.145932966001423
separate_pca	Published	Fe_Os_SF_4	Proboscis	-24.327124049973488	2.862187683751645
separate_pca	Published	Fe_Os_SF_5	Proboscis	-15.985927593789903	3.1800111210531914
separate_pca	Published	Fe_Ov_O_1	Ovaries	152.7569533680801	-112.47422752667657
separate_pca	Published	Fe_Ov_O_2	Ovaries	152.480090356402	-111.91390831266857
separate_pca	Published	Fe_Ov_O_3	Ovaries	153.32134274379433	-112.75816415715138
separate_pca	Published	Fe_Ov_O_4	Ovaries	152.29282065162556	-112.23127673697098
separate_pca	Published	Fe_Ov_SF_1	Ovaries	162.6335508586199	-115.88251855393139
separate_pca	Published	Fe_Ov_SF_2	Ovaries	161.43067899638427	-116.13122932129974
separate_pca	Published	Fe_Ov_SF_3	Ovaries	160.1984309029702	-116.09329461045071
separate_pca	Published	Fe_Pa_SF_1	Palps	-29.046962267128958	1.17347727768171
separate_pca	Published	Fe_Pa_SF_2	Palps	-11.454053729843208	7.546488975040232
separate_pca	Published	Fe_Pa_SF_3	Palps	-3.931992861213635	9.032115954714122
separate_pca	Published	Fe_Pa_SF_4	Palps	-7.8431667287009255	7.899719221576865
separate_pca	Published	Fe_Rs_BF_1	Rostrum	-21.795328119558366	8.056908761904525
separate_pca	Published	Fe_Rs_BF_2	Rostrum	-17.977210247570046	8.787573294786542
separate_pca	Published	Fe_Rs_BF_3	Rostrum	-31.14028722052605	2.7988407383471428
